"_Vind,_kias","_Vind,_keas","Vtrue,_ktas","Vtrue,_ktgs","_Vind,__mph","Vtrue,mphas","Vtrue,mphgs","____X,____m","____Y,____m","____Z,____m","___vX,__m/s","___vY,__m/s","___vZ,__m/s","_dist,___ft","_dist,___nm",A,B,C
87.60498,88.39859,89.15372,74.78911,100.81401,102.59627,86.40726,-23194.93164,131.49763,6513.81055,-0.31764,3.46897,-38.47011,3577.16528,0.58873,1.00000,14.81958,14.84241
88.34746,89.24165,90.01678,75.59354,101.66844,103.58946,87.27866,-23195.07227,134.47003,6478.82080,-0.09333,3.20159,-38.88536,3691.96265,0.60762,1.00000,14.81958,14.83891
89.16323,90.06541,90.86031,76.36543,102.60722,104.56017,88.17116,-23195.21875,137.38113,6443.46191,-0.21256,3.24077,-39.28201,3807.96973,0.62671,1.00000,14.81958,14.83541
89.98459,90.89445,91.70941,77.15572,103.55242,105.53731,89.04266,-23195.38086,140.29002,6407.75000,-0.10640,3.04065,-39.68918,3925.13574,0.64599,1.00000,14.81958,14.83190
90.85568,91.91140,92.74631,78.19336,104.55486,106.73055,90.13651,-23195.41016,142.72504,6371.60791,0.01296,2.38850,-40.22377,4043.71167,0.66551,1.00000,14.81958,14.83190
91.82622,92.84819,93.70184,79.03364,105.67173,107.83016,91.16555,-23195.37305,145.03285,6335.00781,0.09141,2.83977,-40.65549,4163.79102,0.68527,1.00000,14.81958,14.82840
92.76361,93.77111,94.64425,79.92482,106.75046,108.91466,92.15634,-23195.21484,147.46742,6298.02002,0.24584,2.61868,-41.11353,4285.14209,0.70524,1.00000,14.81958,14.82489
93.68350,94.66199,95.55432,80.76295,107.80905,109.96195,93.12403,-23194.94141,149.86395,6260.63184,0.35415,2.65546,-41.54388,4407.81152,0.72543,1.00000,14.81958,14.82137
94.58952,95.58404,96.49569,81.65366,108.85168,111.04527,94.12331,-23194.56250,152.17433,6222.84229,0.48380,2.47944,-42.00098,4531.79883,0.74584,1.00000,14.81782,14.81961
95.50780,96.50694,97.43763,82.53423,109.90842,112.12923,95.12854,-23194.06641,154.38530,6184.64063,0.60513,2.42924,-42.45251,4657.14355,0.76647,1.00000,14.81430,14.81961
96.42426,97.41641,98.36605,83.40654,110.96307,113.19764,96.11776,-23193.46289,156.57103,6146.03662,0.72756,2.32247,-42.89950,4783.81055,0.78731,1.00000,14.81077,14.81961
97.34458,98.34968,99.31793,84.30538,112.02215,114.29304,97.13888,-23192.74609,158.60170,6107.01709,0.85382,2.22013,-43.35977,4911.84912,0.80839,1.00000,14.80724,14.81961
98.26671,99.24444,100.23100,85.15154,113.08331,115.34378,98.11508,-23191.91797,160.61603,6067.59326,0.97575,2.25349,-43.79257,5041.22168,0.82968,1.00000,14.80371,14.81961
99.15434,100.06991,101.07465,85.92252,114.10478,116.31464,99.01222,-23190.97852,162.71304,6027.79736,1.09076,2.35083,-44.18649,5171.82129,0.85117,1.00000,14.80017,14.81961
100.00376,100.96317,101.98631,86.83156,115.08228,117.36375,99.99961,-23190.00391,164.66109,5987.62402,1.03606,1.78413,-44.65619,5303.66260,0.87287,1.00000,14.80017,14.81961
100.95335,102.22155,103.26197,88.14949,116.17505,118.83176,101.44227,-23189.09961,165.57866,5946.92773,0.96420,0.30362,-45.33748,5437.21240,0.89485,1.00000,14.79664,14.81961
102.19435,103.75698,104.81174,89.72427,117.60316,120.61520,103.26031,-23188.30469,165.34404,5905.54443,0.72176,-0.50951,-46.15303,5573.00977,0.91720,1.00000,14.79664,14.81607
103.59167,104.93808,106.00517,90.96278,119.21117,121.98857,104.70451,-23188.04297,165.48796,5863.46729,-0.15164,1.09373,-46.79408,5711.06396,0.93992,1.00000,14.79664,14.81252
104.76483,105.82327,106.90550,91.84903,120.56122,123.02467,105.74995,-23188.42188,166.73172,5820.92822,-0.65499,1.52257,-47.24539,5850.63330,0.96289,1.00000,14.79664,14.80896
105.70552,106.63409,107.73210,92.69486,121.64375,123.97590,106.71755,-23189.33008,168.20958,5778.00537,-1.33168,1.44200,-47.66661,5991.48877,0.98607,1.00000,14.79664,14.80539
106.60249,107.76613,108.87891,93.90581,122.67596,125.29562,108.06519,-23190.77539,168.80067,5734.62061,-1.83577,-0.07936,-48.27450,6133.90625,1.00951,1.00000,14.79664,14.80182
107.71260,109.01862,110.14300,95.20303,123.95345,126.75031,109.55915,-23192.61914,168.57672,5690.64648,-2.16569,-0.21680,-48.92894,6278.30420,1.03328,1.00000,14.79664,14.79825
108.90478,110.15321,111.28860,96.34116,125.32539,128.06863,110.86743,-23194.56055,168.48676,5646.10938,-2.04341,0.03417,-49.52002,6424.56250,1.05735,1.00000,14.79484,14.79645
110.02684,111.14054,112.28696,97.27389,126.61663,129.21754,111.94408,-23196.10742,168.68886,5601.07568,-1.33404,0.42263,-50.02391,6572.39844,1.08168,1.00000,14.79125,14.79645
111.01898,111.96809,113.12603,98.01630,127.75837,130.18312,112.81161,-23196.90039,169.28789,5555.63428,-0.40510,0.90427,-50.42157,6721.51025,1.10622,1.00000,14.79125,14.79645
111.85429,112.62071,113.79099,98.55424,128.71962,130.94833,113.45870,-23196.75586,170.36118,5509.89014,0.68881,1.46669,-50.69469,6871.59277,1.13092,1.00000,14.78765,14.79645
112.53844,113.34132,114.52494,99.24549,129.50693,131.79295,114.21188,-23195.74414,171.43857,5463.89990,1.44908,0.36617,-51.03540,7022.51514,1.15576,1.00000,14.78405,14.79645
113.34352,114.55742,115.74618,100.21336,130.43340,133.19833,115.69680,-23194.20508,170.01488,5417.47510,1.86299,-4.10100,-51.52459,7174.91260,1.18084,0.30196,14.78044,14.79645
114.17090,114.92781,116.08500,99.72678,131.38553,133.58824,116.48018,-23192.61328,163.59462,5373.62207,1.81937,-8.85702,-51.28024,7318.88037,1.20453,0.00000,14.77940,14.79645
114.68260,114.79670,115.90890,99.89677,131.97438,133.38557,116.54524,-23191.13672,155.80823,5327.17725,1.35628,-8.51842,-51.38139,7471.33496,1.22962,0.00000,14.77833,14.79645
114.72070,114.50211,115.56941,100.07499,132.01822,132.99492,116.42096,-23190.36914,148.35698,5280.66064,0.29583,-7.58277,-51.48862,7623.97363,1.25474,0.00000,14.77726,14.79645
114.38658,113.60528,114.63210,99.89800,131.63373,131.91628,115.50101,-23190.61328,142.66269,5234.09766,-0.69388,-4.94938,-51.39112,7776.74316,1.27989,0.00000,14.77619,14.79645
113.48125,112.38043,113.37417,98.85041,130.59189,130.46866,114.14630,-23191.21094,138.69873,5187.84961,-0.54744,-4.18205,-50.85335,7928.48828,1.30486,0.00000,14.77511,14.79645
112.36668,111.09042,112.05277,97.65485,129.30927,128.94803,112.66998,-23191.46094,135.06097,5142.13184,0.17565,-3.57519,-50.24063,8078.48535,1.32955,0.00000,14.77404,14.79645
111.05989,109.44093,110.37496,96.08617,127.80544,127.01724,110.64748,-23190.46680,132.51544,5097.05127,2.11888,-1.75516,-49.38726,8226.43457,1.35390,0.00000,14.77404,14.79645
109.16376,106.39363,107.30058,92.93156,125.62342,123.47932,106.97881,-23187.43945,132.43042,5050.68018,3.97246,1.27652,-47.64143,8378.90625,1.37899,0.00000,14.77350,14.79592
106.11252,102.50352,103.38323,88.94415,122.11211,118.97131,102.37492,-23183.18750,133.66003,5006.22949,4.81808,0.95387,-45.50137,8525.41113,1.40310,0.00000,14.77350,14.79484
102.14574,98.00858,98.85270,84.42472,117.54723,113.75767,97.15427,-23178.64453,134.31331,4963.92773,4.32289,0.08157,-43.21609,8664.99805,1.42608,0.00000,14.77350,14.79375
